id|name|count|price|weight
1|Конструктор LEGO DUPLO Town Грузовой поезд|5|10000.0|5
2|Конструктор LEGO Creator Спортивный автомобиль|10|1200.0|10
3|Питомец Панда|12|5800.0|15
4|Игрушка мягкая Союзмультфильм Чебурашка|20|2500.0|20
5|Машинка на радиоуправлении FAIRYMARY Перевертыш-вездеход|14|1400.0|25
6|Кран Mobicaro дист.управление 4 канала|8|1800.0|30
7|Игрушка Mobicaro Парковка Полицейский участок 71 деталь|20|1000.0|25
8|Набор игровой Hot Wheels Супергараж|2|20000.0|5
9|Трактор фермера Kiddieland|9|2200.0|20
10|Набор инструментов Klein Bosch с дрелью в кейсе|11|2300.0|20
